# Point-in-time S&P 500 membership (SPEC-BACKTEST.md §2.1).
#
# Sources (both Wikipedia; the change history §2.1 cites lives on the companion
# "Historical components" article, linked from the list article):
#   https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
#   https://en.wikipedia.org/wiki/Historical_components_of_the_S%26P_500
# Retrieved: 2026-08-16
#
# Compiled by reverse-walking the change history from the constituent list as of
# the retrieval date: each change event closes or opens one membership interval.
# A symbol is a member on date d iff added <= d and (removed empty or d < removed)
# — inclusive of `added`, exclusive of `removed` (§2.2).
#
# Conventions:
#   * Symbols are in yfinance form (BRK.B -> BRK-B).
#   * `removed` empty means still a member at the retrieval date.
#   * added = 1957-03-04 is a floor sentinel — S&P 500 inception — meaning "already a
#     member before this dataset's recorded history begins", not a verified date.
#   * Ticker changes are absent from the source change table by editorial policy
#     ("company name changes and ticker changes are not changes to the index"),
#     so each one is supplied from a company press release, SEC filing or
#     exchange notice and split into a removal of the old symbol and an addition
#     of the new one on the effective date, per §2.3.
#   * Changes announced but not yet effective at the retrieval date are excluded.
#
# Known imperfections (bias register row 8):
#   * The change table is community-maintained; dates and completeness may be
#     wrong in places, and pre-1990s coverage is sparse.
#   * Four pre-window spans (BUD, CCR, FSR, NCC) end at their acquisition's
#     completion date rather than a sourced index-removal date, which is accurate
#     to within days. All four close more than six years before the evaluation
#     window opens.
#   * Some symbols were reassigned to a different security rather than retired —
#     DLPH (to Delphi Technologies, 2017-12-05), IR (to Ingersoll Rand Inc,
#     2020-03-02), UA (to Under Armour Class C, 2016-12-07) and GOOG (to Alphabet
#     Class C, 2014-04-03). Membership here is per *symbol*, which is what the
#     price fetch keys on; a price series spanning one of those dates splices two
#     different securities, and no membership file can repair that.
symbol,added,removed
A,2000-06-05,
AA,1957-03-04,2016-11-01
AAL,2015-03-23,2024-09-23
AAP,2015-07-08,2023-08-25
AAPL,1982-11-30,
ABBV,2013-01-02,
ABK,2000-12-05,2008-06-10
ABMD,2018-05-31,2022-12-22
ABNB,2023-09-18,
ABS,1957-03-04,2006-06-02
ABT,1957-03-04,
ACAS,1957-03-04,2009-03-03
ACE,1957-03-04,2016-01-19
ACGL,2022-11-01,
ACN,2011-07-05,
ACT,1999-04-12,2015-06-15
ADBE,1997-05-05,
ADCT,1957-03-04,2007-07-02
ADI,1999-10-12,
ADM,1957-03-04,
ADP,1981-03-31,
ADS,2013-12-23,2020-06-22
ADSK,1989-12-01,
ADT,2012-10-01,2016-05-03
AEE,1991-09-19,
AEP,1957-03-04,
AES,1998-10-02,
AET,1957-03-04,2018-12-03
AFL,1999-05-28,
AGN,1957-03-04,2015-03-23
AGN,2015-06-15,2020-05-12
AIG,1980-03-31,
AIV,1957-03-04,2020-12-21
AIZ,2007-04-10,
AJG,2016-05-31,
AKAM,2007-07-12,
AKS,2008-07-01,2011-12-16
ALB,2016-07-01,
ALGN,2017-06-19,
ALK,2016-05-13,2023-12-18
ALL,1995-07-13,
ALLE,2013-12-02,
ALTR,1957-03-04,2015-12-29
ALXN,2012-05-21,2021-07-21
AMAT,1995-03-16,
AMCR,2019-06-11,
AMD,1957-03-04,2013-09-20
AMD,2017-03-20,
AME,2013-09-20,
AMG,2014-07-01,2019-12-23
AMGN,1992-01-02,
AMP,2005-10-03,
AMT,2007-11-19,
AMTM,2024-09-30,2024-12-23
AMZN,2005-11-18,
AN,1957-03-04,2017-08-08
ANDV,2017-08-01,2018-10-01
ANET,2018-08-28,
ANF,1957-03-04,2013-12-23
ANR,2011-06-01,2012-10-02
ANSS,2017-06-19,2025-07-18
ANTM,2014-12-03,2022-06-28
AON,1996-04-23,
AOS,2017-07-26,
APA,1997-07-28,
APC,1957-03-04,2019-08-09
APD,1985-04-30,
APH,2008-09-30,
APO,2024-12-23,
APOL,1957-03-04,2013-07-01
APP,2025-09-22,
APTV,2017-12-05,
ARE,2017-03-20,
ARES,2025-12-11,
ARG,2009-09-28,2016-05-23
ARNC,2016-11-01,2020-04-01
ATI,1957-03-04,2015-07-02
ATO,2019-02-15,
ATVI,2015-08-28,2023-10-18
AV,1957-03-04,2007-10-26
AVB,2007-01-10,
AVGO,2014-05-08,
AVP,1957-03-04,2015-03-23
AVY,1987-12-31,
AWK,2016-03-04,
AXON,2023-05-04,
AXP,1976-06-30,
AYE,1957-03-04,1976-07-01
AYE,2000-12-05,2011-02-25
AYI,2016-05-03,2018-06-18
AZO,1997-01-02,
BA,1957-03-04,
BAC,1976-06-30,
BALL,1984-10-31,
BAX,1972-09-30,
BBBY,1957-03-04,2017-07-26
BBWI,1957-03-04,2024-10-01
BBY,1999-06-29,
BC,1957-03-04,2008-06-23
BCR,1957-03-04,2018-01-03
BDX,1972-09-30,
BEAM,1957-03-04,2014-05-01
BEN,1998-04-30,
BF-B,1982-10-31,
BG,2023-03-15,
BHF,2017-08-08,2019-04-02
BHI,1957-03-04,2017-07-07
BIG,1957-03-04,2013-02-15
BIIB,2003-11-13,
BIO,2020-06-22,2024-09-23
BJS,1957-03-04,2010-04-29
BKNG,2018-02-27,
BKR,2017-07-07,
BLDR,2023-12-18,
BLK,2011-04-01,
BMC,1957-03-04,2013-09-10
BMS,1957-03-04,2014-12-05
BMS,2019-06-07,2019-06-11
BMY,1957-03-04,
BNY,1995-03-31,
BR,2018-06-18,
BRCM,1957-03-04,2016-02-01
BRK-B,2010-02-16,
BRO,2021-09-20,
BS,1957-03-04,2000-12-05
BSX,1995-02-24,
BTU,1957-03-04,2014-09-20
BUD,1976-07-01,2008-11-18
BWA,2011-12-16,2025-03-24
BX,2023-09-18,
BXLT,2015-07-01,2016-06-03
BXP,2006-04-03,
C,1988-05-31,
CA,1957-03-04,2018-11-06
CAG,1957-03-04,2026-06-30
CAH,1997-05-27,
CAM,1957-03-04,2016-04-04
CARR,2020-04-03,
CASY,2026-04-09,
CAT,1957-03-04,
CB,2010-07-14,
CBE,1957-03-04,2009-09-28
CBE,2011-11-18,2012-12-03
CBOE,2017-03-01,
CBRE,2006-11-10,
CCE,1957-03-04,2016-05-31
CCI,2012-03-13,
CCK,1957-03-04,2000-12-05
CCL,1998-12-11,
CCR,1997-06-17,2002-11-13
CDAY,2021-09-20,2024-02-01
CDNS,2017-09-18,
CDW,2019-09-23,
CE,2018-12-24,2025-03-24
CEG,1957-03-04,2012-03-13
CEG,2022-02-02,
CELG,1957-03-04,2019-11-21
CEPH,1957-03-04,2011-10-14
CERN,2010-04-29,2022-06-08
CF,2008-08-27,
CFC,1957-03-04,2008-07-01
CFG,2016-02-01,
CFN,1957-03-04,2015-03-18
CHD,2015-12-29,
CHK,1957-03-04,2018-03-19
CHRW,2007-03-02,
CHTR,2016-09-08,
CI,1976-06-30,
CIEN,1957-03-04,2009-12-18
CIEN,2026-02-09,
CINF,1997-12-18,
CL,1957-03-04,
CLF,2009-12-18,2014-04-02
CLX,1969-03-31,
CMA,1957-03-04,2024-06-24
CMCSA,2002-11-19,
CMCSK,2015-09-18,2015-12-15
CME,2006-08-11,
CMG,2011-04-27,
CMI,1965-03-31,
CMS,1957-03-04,
CNC,2016-03-30,
CNP,1985-07-31,
CNX,1957-03-04,2016-03-04
COF,1998-07-01,
COG,2008-06-23,2021-10-04
COHR,2026-03-23,
COIN,2025-05-19,
COL,1957-03-04,2018-12-03
COO,2016-09-22,
COP,1957-03-04,
COR,2001-08-30,
COST,1993-10-01,
COTY,2016-09-30,2020-09-21
COV,1957-03-04,2009-06-05
COV,2011-02-28,2015-01-27
CPAY,2024-03-25,
CPB,1957-03-04,2026-06-22
CPGX,2015-07-02,2016-07-05
CPRI,2019-01-02,2020-05-12
CPRT,2018-07-02,
CPT,2022-04-04,
CPWR,1998-12-11,2011-12-31
CRH,2025-12-22,
CRL,2021-05-14,
CRM,2008-09-12,
CRWD,2024-06-24,
CSC,1957-03-04,2015-12-01
CSCO,1993-12-01,
CSGP,2022-09-19,
CSRA,2015-12-01,2018-04-04
CSX,1957-03-04,
CTAS,2001-03-01,
CTLT,2020-09-21,2024-12-23
CTRA,2021-10-04,2026-05-07
CTSH,2006-11-17,
CTVA,2019-06-03,
CTX,1957-03-04,2009-08-19
CTXS,1957-03-04,2022-10-03
CVC,2010-12-17,2016-06-22
CVG,2000-06-12,2009-12-18
CVH,1957-03-04,2013-05-08
CVNA,2025-12-22,
CVS,1957-03-04,
CVX,1957-03-04,
CXO,2016-02-22,2021-01-21
CZR,2021-03-22,2025-09-22
D,2016-11-30,
DAL,2013-09-10,
DASH,2025-03-24,
DAY,2024-02-01,2026-02-09
DD,1957-03-04,2017-09-01
DD,2019-06-03,
DDOG,2025-07-09,
